step,w0,w1,f(w),g(w),corrupted,method
2,-0.46999997,2.49,2.401,0.01999998,True,GM_SGM_gross_corrupted
3,-0.62,2.3400002,2.74,-0.27999985,True,GM_SGM_gross_corrupted
4,-0.13400039,2.238,1.342601,0.103999615,True,GM_SGM_gross_corrupted
5,-0.28400043,2.088,1.6564009,-0.19600034,True,GM_SGM_gross_corrupted
6,0.101199865,2.0615997,0.8116362,0.1627996,True,GM_SGM_gross_corrupted
7,-0.048800036,1.9115998,1.1077961,-0.13720024,True,GM_SGM_gross_corrupted
8,0.26584005,1.9381198,0.54282004,0.20395994,True,GM_SGM_gross_corrupted
9,0.11584012,1.7881196,0.82663196,-0.09604037,True,GM_SGM_gross_corrupted
10,0.38108808,1.8516836,0.4050497,0.23277164,True,GM_SGM_gross_corrupted
11,0.23108806,1.7016836,0.6802183,-0.06722832,True,GM_SGM_gross_corrupted
12,0.4617618,1.7911786,0.33330673,0.25294042,True,GM_SGM_gross_corrupted
13,0.31176168,1.6411786,0.6024248,-0.047059774,True,GM_SGM_gross_corrupted
14,0.51823306,1.7488252,0.29518816,0.26705837,True,GM_SGM_gross_corrupted
15,0.3682331,1.5988252,0.56007063,-0.0329417,True,GM_SGM_gross_corrupted
16,0.55776316,1.7191777,0.27443457,0.27694082,True,GM_SGM_gross_corrupted
17,0.4077631,1.5691777,0.53635234,-0.02305913,True,GM_SGM_gross_corrupted
18,0.58543336,1.6984245,0.2628133,0.28385782,True,GM_SGM_gross_corrupted
19,0.43543342,1.5484245,0.5226559,-0.01614213,True,GM_SGM_gross_corrupted
20,0.60480314,1.6838971,0.25610158,0.28870034,True,GM_SGM_gross_corrupted
21,0.45480338,1.5338968,0.51449156,-0.011299849,True,GM_SGM_gross_corrupted
22,0.6183624,1.6737278,0.25210083,0.29209018,True,GM_SGM_gross_corrupted
23,0.46836242,1.5237274,0.50947404,-0.007910132,True,GM_SGM_gross_corrupted
24,0.6278537,1.6666093,0.24964225,0.29446292,True,GM_SGM_gross_corrupted
25,0.47785366,1.5166093,0.50630337,-0.005537033,True,GM_SGM_gross_corrupted
26,0.6344976,1.6616265,0.24808866,0.29612398,True,GM_SGM_gross_corrupted
27,0.48449734,1.5116262,0.50425196,-0.0038764477,True,GM_SGM_gross_corrupted
28,0.6391481,1.6581383,0.24708351,0.2972865,True,GM_SGM_gross_corrupted
29,0.48914805,1.5081384,0.50289756,-0.002713561,True,GM_SGM_gross_corrupted
