psi,step,w0,w1,f(w),g(w)
0.0,0,-2.0,3.0,10.0,-1.0
0.0,1,-1.1015238761901855,2.699998378753662,4.9064007,-0.4015255
0.0,2,-0.47408342361450195,2.487313985824585,2.4103968,0.013230562
0.0,3,-0.6245676279067993,2.341646194458008,2.755942,-0.28292143
0.0,4,-0.1400238275527954,2.2393195629119873,1.3569282,0.099295616
0.0,5,-0.2896578311920166,2.085918426513672,1.6705993,-0.2037394
0.0,6,0.09151461720466614,2.062051296234131,0.8291961,0.15356588
0.0,7,-0.059522971510887146,1.9125707149505615,1.1302329,-0.14695227
0.0,8,0.25672823190689087,1.9448169469833374,0.55549806,0.20154524
0.0,9,0.10308152437210083,1.795203447341919,0.8464044,-0.10171509
0.0,10,0.3724100887775421,1.854780673980713,0.4149578,0.22719073
0.0,11,0.22432731091976166,1.7112412452697754,0.6850497,-0.06443143
0.0,12,0.45453858375549316,1.797249674797058,0.33863583,0.25178814
0.0,13,0.3075094223022461,1.6494109630584717,0.60245585,-0.043079615
0.0,14,0.5197936296463013,1.7555493116378784,0.29035428,0.27534294
0.0,15,0.37222418189048767,1.6022876501083374,0.55227757,-0.025488138
0.0,16,0.5596814155578613,1.713442325592041,0.27599576,0.27312374
0.0,17,0.40772420167922974,1.5708727836608887,0.5349408,-0.021403074
0.0,18,0.5851449370384216,1.7053836584091187,0.2589035,0.29052854
0.0,19,0.4336373209953308,1.556358814239502,0.5175842,-0.010003805
0.0,20,0.6048020124435425,1.6922754049301147,0.2508759,0.29707742
0.0,21,0.45619869232177734,1.5414254665374756,0.5060105,-0.0023758411
0.0,22,0.619647204875946,1.6727256774902344,0.25177673,0.29237294
0.0,23,0.46657794713974,1.5242124795913696,0.51091284,-0.009209633
0.0,24,0.6295374035835266,1.6629527807235718,0.25084338,0.29249024
0.0,25,0.4842780828475952,1.514227032661438,0.5019445,-0.0014948845
0.0,26,0.6383551955223083,1.6615086793899536,0.24536335,0.29986382
0.0,27,0.48145294189453125,1.5145233869552612,0.5045786,-0.004023671
0.0,28,0.63888019323349,1.6605173349380493,0.24565598,0.29939747
0.0,29,0.4892623722553253,1.5106067657470703,0.5003587,-0.0001308918
0.0,30,0.6440004110336304,1.6617592573165894,0.24114251,0.30575967
0.0,31,0.4991881251335144,1.5096745491027832,0.49123156,0.008862734
0.0,32,0.35043394565582275,1.3566744327545166,0.83580387,-0.29289162
0.0,33,0.5500197410583496,1.5545169115066528,0.40093744,0.10453653
0.0,34,0.40307360887527466,1.4048316478729248,0.7105465,-0.1920948
0.0,35,0.5811503529548645,1.5827314853668213,0.34954804,0.16388178
