iteration,corruption_level,objective
69,0.1,0.0011761589
70,0.1,0.0030806565
71,0.1,0.023347951
72,0.1,0.03331105
73,0.1,0.016218385
74,0.1,0.02288607
75,0.1,0.0076794648
76,0.1,0.0066908104
77,0.1,0.004993438
78,0.1,0.005482157
79,0.1,0.0033397882
80,0.1,0.0022562467
81,0.1,0.04408613
82,0.1,0.02844148
83,0.1,0.009810508
84,0.1,0.018761195
85,0.1,0.011668653
86,0.1,0.0089928275
87,0.1,0.007241607
88,0.1,0.009340527
89,0.1,0.003264902
90,0.1,0.0063327504
91,0.1,0.013841688
92,0.1,0.002429171
93,0.1,0.0021703101
94,0.1,0.041762657
95,0.1,0.01833495
96,0.1,0.012421284
97,0.1,0.022193609
98,0.1,0.011496587
99,0.1,0.009893941
100,0.1,0.0094999
101,0.1,0.0040874477
102,0.1,0.0021732359
103,0.1,0.0018936902
104,0.1,0.0013181439
105,0.1,0.0437182
106,0.1,0.008871889
107,0.1,0.0061304667
108,0.1,0.007387735
109,0.1,0.008248649
110,0.1,0.013760652
111,0.1,0.007602213
112,0.1,0.006249377
113,0.1,0.002179563
114,0.1,0.039002337
115,0.1,0.045945503
116,0.1,0.021904841
117,0.1,0.020158544
118,0.1,0.00801515
119,0.1,0.0023968203
0,0.2,0.23790139
1,0.2,0.1609874
2,0.2,0.1401046
3,0.2,0.07144264
4,0.2,0.06418067
5,0.2,0.025373174
6,0.2,0.018921927
7,0.2,0.025013277
8,0.2,0.007669937
9,0.2,0.0069815437
10,0.2,0.015721314
11,0.2,0.035817664
12,0.2,0.012657531
13,0.2,0.0066871215
14,0.2,0.0059242737
15,0.2,0.0034719058
16,0.2,0.003452816
17,0.2,0.0012145783
18,0.2,0.00668142
19,0.2,0.0031474307
20,0.2,0.016812738
21,0.2,0.020748723
22,0.2,0.017584011
23,0.2,0.001335738
24,0.2,0.039358594
25,0.2,0.04377697
26,0.2,0.017994411
27,0.2,0.006023203
28,0.2,0.0103819035
29,0.2,0.012828056
30,0.2,0.03479246
31,0.2,0.006680847
32,0.2,0.0036422387
33,0.2,0.0014608246
34,0.2,0.0062168865
35,0.2,0.008132132
36,0.2,0.007831105
37,0.2,0.008795066
38,0.2,0.03098651
39,0.2,0.023737019
40,0.2,0.015827622
41,0.2,0.011886811
42,0.2,0.017758865
43,0.2,0.060199775
44,0.2,0.019649
45,0.2,0.00863451
46,0.2,0.0052089365
47,0.2,0.0039735474
48,0.2,0.0065825153
49,0.2,0.0028423697
50,0.2,0.012698064
51,0.2,0.03551162
52,0.2,0.015436837
53,0.2,0.026050128
54,0.2,0.015721897
55,0.2,0.008689796
56,0.2,0.006184501
57,0.2,0.016623255
58,0.2,0.00964891
59,0.2,0.013282187
60,0.2,0.0033034747
61,0.2,0.0054312097
62,0.2,0.0033097893
63,0.2,0.0052213436
64,0.2,0.0012026613
65,0.2,0.045480087
66,0.2,0.016389798
67,0.2,0.017044224
68,0.2,0.008380617
69,0.2,0.006008258
70,0.2,0.009476181
71,0.2,0.012817579
72,0.2,0.029059166
73,0.2,0.005226287
74,0.2,0.0120601
75,0.2,0.006387404
76,0.2,0.0020423867
77,0.2,0.0014725198
78,0.2,0.04215441
79,0.2,0.042557348
80,0.2,0.030598043
81,0.2,0.012504159
82,0.2,0.004773571
83,0.2,0.005284923
84,0.2,0.0021033278
85,0.2,0.0029912135
86,0.2,0.0043494436
87,0.2,0.0014520438
88,0.2,0.0030177403
89,0.2,0.007034177
90,0.2,0.006118344
91,0.2,0.0078103924
92,0.2,0.0052767647
93,0.2,0.0025329443
94,0.2,0.03362388
95,0.2,0.012600499
96,0.2,0.0072081154
97,0.2,0.0019904012
98,0.2,0.003421926
99,0.2,0.025586788
100,0.2,0.010430814
101,0.2,0.0086733075
102,0.2,0.013707537
103,0.2,0.0028025063
104,0.2,0.05772707
105,0.2,0.009530544
106,0.2,0.009274056
107,0.2,0.014662957
108,0.2,0.0040887804
109,0.2,0.0038658108
110,0.2,0.004017551
111,0.2,0.00521057
112,0.2,0.002584776
113,0.2,0.008803006
114,0.2,0.030864436
115,0.2,0.028033266
116,0.2,0.01802422
117,0.2,0.023687068
118,0.2,0.016331367
119,0.2,0.0038243022
0,0.4,0.26951694
1,0.4,0.15192033
2,0.4,0.01030397
3,0.4,0.012232275
4,0.4,0.022942824
5,0.4,0.010288065
6,0.4,0.002747316
7,0.4,0.008236097
8,0.4,0.043231145
9,0.4,0.003647497
10,0.4,0.007954743
11,0.4,0.010405922
12,0.4,0.031736515
13,0.4,0.053356886
14,0.4,0.012544639
15,0.4,0.009566224
16,0.4,0.004295842
17,0.4,0.0041505564
18,0.4,0.0017422284
19,0.4,0.0294162
20,0.4,0.014773284
21,0.4,0.0056252712
22,0.4,0.00942791
23,0.4,0.0070678154
24,0.4,0.025993038
25,0.4,0.007211337
26,0.4,0.005470936
27,0.4,0.0031988558
28,0.4,0.0058695152
29,0.4,0.0014130314
30,0.4,0.0073472033
31,0.4,0.0033337744
32,0.4,0.0034885718
33,0.4,0.0057492284
34,0.4,0.0026797713
35,0.4,0.03385601
36,0.4,0.014923786
37,0.4,0.018576471
38,0.4,0.0066584693
39,0.4,0.008230737
40,0.4,0.0020829886
41,0.4,0.0023030087
42,0.4,0.041156054
43,0.4,0.017665308
44,0.4,0.0145792095
45,0.4,0.001963735
46,0.4,0.04003117
47,0.4,0.021317998
48,0.4,0.013819382
49,0.4,0.015408837
50,0.4,0.0020034006
51,0.4,0.035310704
52,0.4,0.01564273
53,0.4,0.018383924
54,0.4,0.006571406
55,0.4,0.017571801
56,0.4,0.059626654
57,0.4,0.021109179
58,0.4,0.037480846
59,0.4,0.009856962
60,0.4,0.0036984945
61,0.4,0.007272071
62,0.4,0.025740415
63,0.4,0.010127057
64,0.4,0.012108332
65,0.4,0.0056391857
66,0.4,0.031182248
67,0.4,0.019382711
68,0.4,0.012897339
69,0.4,0.0058210976
70,0.4,0.007915202
71,0.4,0.005672654
72,0.4,0.003925276
73,0.4,0.026501913
74,0.4,0.01937159
75,0.4,0.022386018
76,0.4,0.036157146
77,0.4,0.018136363
78,0.4,0.0273077
79,0.4,0.030595664
80,0.4,0.014457094
81,0.4,0.005709574
82,0.4,0.0052679805
83,0.4,0.0036847459
84,0.4,0.026841646
85,0.4,0.012207961
86,0.4,0.038859747
87,0.4,0.0028482613
88,0.4,0.0031668684
89,0.4,0.04867951
90,0.4,0.009182206
91,0.4,0.0037377605
92,0.4,0.004287777
93,0.4,0.03804234
94,0.4,0.027120315
95,0.4,0.027261496
96,0.4,0.029700235
97,0.4,0.02194165
98,0.4,0.053718902
99,0.4,0.021985153
100,0.4,0.04686801
101,0.4,0.0065652495
102,0.4,0.010806264
103,0.4,0.007295992
104,0.4,0.0102953985
105,0.4,0.0064889807
106,0.4,0.0039555235
107,0.4,0.021563495
108,0.4,0.010762185
109,0.4,0.018093344
110,0.4,0.0024341517
111,0.4,0.02741393
112,0.4,0.007695011
113,0.4,0.0024931058
114,0.4,0.0046450454
115,0.4,0.014783923
116,0.4,0.037367944
117,0.4,0.020538013
118,0.4,0.012329019
119,0.4,0.0055545643
