step,w0,w1,f(w),g(w),corrupted,method
5,-0.28399962,2.0879998,1.6563991,-0.19599986,True,GM_SGM_corrupted
6,0.10120049,2.0615995,0.8116351,0.16280007,True,GM_SGM_corrupted
7,-0.048799604,1.9115996,1.1077954,-0.1372,True,GM_SGM_corrupted
8,0.2658403,1.9381198,0.5428197,0.20395994,True,GM_SGM_corrupted
9,0.11584036,1.7881198,0.8266314,-0.09603989,True,GM_SGM_corrupted
10,0.38108814,1.851684,0.40504953,0.23277211,True,GM_SGM_corrupted
11,0.23108816,1.701684,0.6802178,-0.06722784,True,GM_SGM_corrupted
12,0.4617616,1.7911788,0.33330685,0.25294042,True,GM_SGM_corrupted
13,0.31176165,1.6411788,0.6024247,-0.047059536,True,GM_SGM_corrupted
14,0.5182331,1.7488252,0.2951881,0.26705837,True,GM_SGM_corrupted
15,0.36823314,1.5988252,0.5600706,-0.03294158,True,GM_SGM_corrupted
16,0.55776316,1.7191777,0.27443457,0.27694082,True,GM_SGM_corrupted
17,0.40776312,1.5691777,0.53635234,-0.02305913,True,GM_SGM_corrupted
18,0.58543396,1.6984247,0.26281267,0.28385878,True,GM_SGM_corrupted
19,0.43543398,1.5484247,0.522655,-0.016141295,True,GM_SGM_corrupted
20,0.60480356,1.6838971,0.25610125,0.28870058,True,GM_SGM_corrupted
21,0.45480353,1.533897,0.51449114,-0.011299372,True,GM_SGM_corrupted
22,0.61836255,1.673728,0.2521006,0.29209042,True,GM_SGM_corrupted
23,0.46836254,1.523728,0.5094734,-0.007909417,True,GM_SGM_corrupted
24,0.6278537,1.6666096,0.24964201,0.2944634,True,GM_SGM_corrupted
25,0.47785366,1.5166097,0.506303,-0.0055366755,True,GM_SGM_corrupted
26,0.63449764,1.6616268,0.24808839,0.29612446,True,GM_SGM_corrupted
27,0.48449764,1.511627,0.5042509,-0.0038753748,True,GM_SGM_corrupted
28,0.6391483,1.6581389,0.24708298,0.29728723,True,GM_SGM_corrupted
29,0.48914832,1.5081389,0.5028968,-0.0027127266,True,GM_SGM_corrupted
30,0.64240384,1.6556973,0.24641934,0.2981012,True,GM_SGM_corrupted
31,0.49240386,1.5056974,0.5019889,-0.0018987656,True,GM_SGM_corrupted
32,0.6446827,1.6539884,0.24597445,0.298671,True,GM_SGM_corrupted
33,0.4946827,1.5039884,0.5013732,-0.0013289452,True,GM_SGM_corrupted
34,0.6462779,1.6527919,0.2456728,0.29906988,True,GM_SGM_corrupted
35,0.4962777,1.5027919,0.50095206,-0.0009304285,True,GM_SGM_corrupted
36,0.64739436,1.6519543,0.24546656,0.2993486,True,GM_SGM_corrupted
37,0.49739426,1.5019543,0.500662,-0.00065135956,True,GM_SGM_corrupted
38,0.648176,1.651368,0.24532437,0.2995441,True,GM_SGM_corrupted
39,0.49817574,1.5013679,0.5004616,-0.00045633316,True,GM_SGM_corrupted
40,0.64872295,1.6509575,0.24522626,0.29968047,True,GM_SGM_corrupted
