step,w0,w1,f(w),g(w),corrupted,method
2,-0.47000015,2.49,2.4010003,0.01999998,True,GM_SGM_gross_corrupted
3,-0.62000006,2.3400002,2.7400005,-0.27999997,True,GM_SGM_gross_corrupted
4,-0.06121838,2.217175,1.1733495,0.15595675,True,GM_SGM_gross_corrupted
5,-0.2112184,2.0671751,1.4715625,-0.1440432,True,GM_SGM_gross_corrupted
6,0.15214722,2.0470226,0.7210654,0.19916987,True,GM_SGM_gross_corrupted
7,0.0021474063,1.8970227,1.006314,-0.10082984,True,GM_SGM_gross_corrupted
8,0.30150303,1.9279159,0.4930941,0.229419,True,GM_SGM_gross_corrupted
9,0.15150306,1.777916,0.7692684,-0.07058096,True,GM_SGM_gross_corrupted
10,0.40605238,1.8445411,0.3769413,0.25059342,True,GM_SGM_gross_corrupted
11,0.25605258,1.6945415,0.64676267,-0.049405932,True,GM_SGM_gross_corrupted
12,0.4792362,1.7861788,0.31691447,0.26541495,True,GM_SGM_gross_corrupted
13,0.3292362,1.636179,0.5822898,-0.03458476,True,GM_SGM_gross_corrupted
14,0.53046525,1.7453253,0.28532207,0.2757907,True,GM_SGM_gross_corrupted
15,0.3804652,1.5953255,0.54758483,-0.024209261,True,GM_SGM_gross_corrupted
16,0.56632566,1.716728,0.26831648,0.28305364,True,GM_SGM_gross_corrupted
17,0.41632566,1.566728,0.52840036,-0.016946316,True,GM_SGM_gross_corrupted
18,0.59142804,1.6967095,0.25891617,0.28813744,True,GM_SGM_gross_corrupted
19,0.44142804,1.5467097,0.5174748,-0.011862278,True,GM_SGM_gross_corrupted
20,0.60899955,1.6826966,0.2535628,0.29169607,True,GM_SGM_gross_corrupted
21,0.4589993,1.5326966,0.5110543,-0.008304119,True,GM_SGM_gross_corrupted
22,0.6212994,1.6728874,0.2504168,0.29418683,True,GM_SGM_gross_corrupted
23,0.47129947,1.5228875,0.5071606,-0.005813122,True,GM_SGM_gross_corrupted
24,0.94935596,1.9336071,0.0069728354,0.8829632,True,GM_SGM_gross_corrupted
25,0.799356,1.7836071,0.08708389,0.582963,True,GM_SGM_gross_corrupted
26,0.6493559,1.6336071,0.25719503,0.28296304,True,GM_SGM_gross_corrupted
27,0.49935588,1.4836072,0.5173061,-0.017036915,True,GM_SGM_gross_corrupted
28,0.64954925,1.6385248,0.25348008,0.28807402,True,GM_SGM_gross_corrupted
29,0.49954918,1.4885248,0.5120579,-0.011926055,True,GM_SGM_gross_corrupted
30,0.64968437,1.6419673,0.25090846,0.29165173,True,GM_SGM_gross_corrupted
31,0.49968415,1.4919673,0.50841314,-0.008348465,True,GM_SGM_gross_corrupted
32,0.64977896,1.6443771,0.24912241,0.29415607,True,GM_SGM_gross_corrupted
33,0.49977946,1.4943775,0.50587475,-0.0058430433,True,GM_SGM_gross_corrupted
34,0.64984584,1.6460643,0.24787843,0.29591012,True,GM_SGM_gross_corrupted
35,0.49984586,1.4960643,0.5041053,-0.0040898323,True,GM_SGM_gross_corrupted
36,0.6498921,1.647245,0.2470116,0.29713726,True,GM_SGM_gross_corrupted
37,0.49989218,1.497245,0.50287044,-0.0028629303,True,GM_SGM_gross_corrupted
38,0.6499245,1.6480716,0.2464064,0.29799604,True,GM_SGM_gross_corrupted
39,0.49992466,1.4980717,0.50200737,-0.0020036697,True,GM_SGM_gross_corrupted
40,0.6499473,1.6486505,0.24598336,0.2985978,True,GM_SGM_gross_corrupted
